completed_trade_id,user_id,symbol,opened_at,closed_at,setup_pattern,trade_notes
1,2,GELS,2025-11-24 10:01:26+00:00,2025-11-24 10:04:38+00:00,Test Pattern,
2,2,ZIM,2025-11-25 09:35:44+00:00,2025-11-25 09:56:48+00:00,,
3,2,ZIM,2025-11-25 10:32:57+00:00,2025-11-25 11:02:02+00:00,,
4,2,BTQ,2025-11-25 10:08:24+00:00,2025-11-25 10:13:43+00:00,,
5,2,SPY,2025-11-25 10:25:30+00:00,2025-11-25 10:26:34+00:00,,
6,2,NVD,2025-11-25 12:54:09+00:00,2025-11-25 13:11:52+00:00,,
7,2,SPY,2025-11-25 14:40:53+00:00,2025-11-25 14:43:44+00:00,,
8,2,SPY,2025-11-25 14:57:03+00:00,2025-11-25 15:05:51+00:00,,
9,2,SPY,2025-11-25 15:15:36+00:00,2025-11-25 15:17:58+00:00,,
10,2,CLSK,2025-11-26 09:39:52+00:00,2025-11-26 09:42:22+00:00,,
11,2,SPY,2025-11-26 12:08:30+00:00,2025-11-26 12:59:30+00:00,,
124,1,SPY,2025-01-15 10:00:00+00:00,2025-01-16 15:30:00+00:00,,
428,3,SPY,2023-08-15 15:13:28+00:00,2023-08-15 15:19:25+00:00,,
429,3,SPY,2023-08-15 15:26:07+00:00,2023-08-15 15:29:56+00:00,,
430,3,SPY,2023-08-15 15:55:21+00:00,2023-08-15 15:59:57+00:00,,
431,3,COGT,2025-11-10 09:49:18+00:00,2025-11-10 12:21:17+00:00,,
432,3,GRAB,2025-11-10 09:59:23+00:00,2025-11-10 13:30:28+00:00,,
433,3,SPY,2025-11-10 13:44:22+00:00,2025-11-10 14:27:04+00:00,,
434,3,QTTB,2025-12-01 09:36:28+00:00,2025-12-01 09:47:41+00:00,,
435,3,SPY,2025-12-01 15:54:53+00:00,2025-12-01 15:55:47+00:00,,
436,3,JSPR,2025-12-02 09:35:41+00:00,2025-12-02 09:42:26+00:00,,
437,3,SPY,2025-12-02 10:30:17+00:00,2025-12-02 10:40:23+00:00,,
438,3,SPY,2025-12-02 10:51:57+00:00,2025-12-02 10:52:59+00:00,,
439,3,SPY,2025-12-02 13:25:34+00:00,2025-12-02 13:51:56+00:00,,
440,3,IRBT,2025-12-03 09:35:01+00:00,2025-12-03 09:50:51+00:00,,
441,3,IRBT,2025-12-05 10:49:12+00:00,2025-12-05 14:06:42+00:00,,
442,3,SPY,2025-12-03 15:54:36+00:00,2025-12-03 15:59:29+00:00,,
443,3,PLRZ,2025-12-04 09:46:55+00:00,2025-12-04 09:49:44+00:00,,
444,3,SPY,2025-12-04 15:28:44+00:00,2025-12-04 15:50:24+00:00,,
445,3,WHLR,2025-12-08 09:32:27+00:00,2025-12-08 09:34:05+00:00,,
446,3,NCPL,2025-12-09 09:34:35+00:00,2025-12-09 09:44:10+00:00,,
447,3,XCUR,2025-12-09 10:06:57+00:00,2025-12-09 10:22:01+00:00,,
448,3,BEAT,2025-12-10 09:39:58+00:00,2025-12-10 09:47:12+00:00,,
449,3,PLAB,2025-12-10 10:07:29+00:00,2025-12-10 10:18:49+00:00,,
450,3,SPY,2025-12-10 14:16:12+00:00,2025-12-10 14:18:16+00:00,,
451,3,SPY,2025-12-10 14:33:19+00:00,2025-12-10 14:34:48+00:00,,
452,3,SPY,2025-12-10 14:26:07+00:00,2025-12-10 14:29:43+00:00,,
453,3,SPY,2025-12-10 15:13:57+00:00,2025-12-10 15:14:27+00:00,,
454,3,SPY,2025-12-10 15:15:29+00:00,2025-12-10 15:16:00+00:00,,
455,3,SPY,2025-12-10 15:16:48+00:00,2025-12-10 15:18:19+00:00,,
456,3,PETS,2025-12-11 09:40:49+00:00,2025-12-11 09:55:19+00:00,,
457,3,YCBD,2025-12-12 09:38:49+00:00,2025-12-12 09:40:13+00:00,,
458,3,YCBD,2025-12-12 09:46:00+00:00,2025-12-12 09:46:25+00:00,,
459,3,YCBD,2025-12-17 10:06:41+00:00,2025-12-17 10:38:42+00:00,,
460,3,RIVN,2025-12-12 09:49:24+00:00,2025-12-12 10:00:58+00:00,,
461,3,RIVN,2026-02-13 09:34:43+00:00,2026-02-13 09:36:14+00:00,,
462,3,SPY,2025-12-12 10:11:52+00:00,2025-12-12 10:17:45+00:00,,
463,3,SPY,2025-12-12 10:35:14+00:00,2025-12-12 10:45:00+00:00,,
464,3,SPY,2025-12-12 11:45:13+00:00,2025-12-12 11:47:31+00:00,,
465,3,SPY,2025-12-12 14:32:19+00:00,2025-12-12 14:52:08+00:00,,
466,3,SPY,2025-12-12 15:08:00+00:00,2025-12-12 15:26:10+00:00,,
467,3,AMCI,2025-12-15 09:50:41+00:00,2025-12-15 09:51:40+00:00,,
468,3,ADTX,2025-12-17 09:35:11+00:00,2025-12-17 09:35:35+00:00,,
469,3,ADTX,2025-12-17 09:37:20+00:00,2025-12-17 09:39:42+00:00,,
470,3,FCEL,2025-12-18 09:55:08+00:00,2025-12-18 10:05:40+00:00,,
471,3,FCEL,2026-01-28 10:10:47+00:00,2026-01-28 10:10:49+00:00,,
472,3,FCEL,2026-01-28 10:11:21+00:00,2026-01-28 10:13:52+00:00,,
473,3,MJ,2025-12-19 09:33:28+00:00,2025-12-19 09:33:59+00:00,,
474,3,MJ,2025-12-19 09:34:49+00:00,2025-12-19 09:36:52+00:00,,
475,3,SOLT,2025-12-19 09:52:50+00:00,2025-12-19 10:20:36+00:00,,
476,3,AMST,2025-12-19 13:29:16+00:00,2025-12-19 15:06:27+00:00,,
477,3,ENPH,2025-12-22 10:18:14+00:00,2025-12-22 10:39:02+00:00,,
478,3,SPY,2025-12-22 13:11:53+00:00,2025-12-22 13:13:11+00:00,,
479,3,SPY,2025-12-22 13:26:10+00:00,2025-12-22 14:05:12+00:00,,
480,3,SPY,2025-12-23 15:13:42+00:00,2025-12-23 15:44:51+00:00,,
481,3,INDP,2025-12-24 09:39:38+00:00,2025-12-24 09:43:07+00:00,,
482,3,SIDU,2025-12-24 09:44:40+00:00,2025-12-24 11:14:35+00:00,,
483,3,SIDU,2025-12-26 09:42:17+00:00,2025-12-26 09:47:45+00:00,,
484,3,ECDA,2025-12-26 10:06:21+00:00,2025-12-26 10:27:16+00:00,,
485,3,SOPA,2025-12-26 14:39:33+00:00,2025-12-26 14:47:22+00:00,,
486,3,SOPA,2025-12-26 14:54:46+00:00,2025-12-26 15:04:40+00:00,,
487,3,BNAI,2025-12-29 09:55:47+00:00,2025-12-29 09:57:07+00:00,,
488,3,PACB,2025-12-31 10:03:18+00:00,2025-12-31 10:32:40+00:00,,
489,3,PACB,2025-12-31 13:02:37+00:00,2025-12-31 13:49:12+00:00,,
490,3,PBF,2025-12-31 14:05:17+00:00,2025-12-31 14:31:11+00:00,,
491,3,ALMS,2026-01-06 09:37:56+00:00,2026-01-06 09:38:17+00:00,,
492,3,ALMS,2026-01-06 09:41:16+00:00,2026-01-06 09:43:09+00:00,,
493,3,WOLF,2026-01-06 10:29:09+00:00,2026-01-06 10:47:17+00:00,,
494,3,SPY,2026-01-06 13:55:26+00:00,2026-01-06 14:00:44+00:00,,
495,3,FLYX,2026-01-08 09:37:56+00:00,2026-01-08 09:39:05+00:00,,
496,3,BE,2026-01-08 09:50:36+00:00,2026-01-08 09:52:41+00:00,,
497,3,SPY,2026-01-08 09:57:26+00:00,2026-01-08 10:04:15+00:00,,
498,3,SPY,2026-01-08 10:11:39+00:00,2026-01-08 10:22:30+00:00,,
499,3,SPY,2026-01-08 10:46:39+00:00,2026-01-08 10:54:43+00:00,,
500,3,SPY,2026-01-09 09:44:23+00:00,2026-01-09 10:03:45+00:00,,
501,3,INBS,2026-01-09 10:20:06+00:00,2026-01-09 10:25:28+00:00,,
502,3,SPY,2026-01-09 10:39:50+00:00,2026-01-09 11:10:45+00:00,,
503,3,SNDK,2026-01-09 11:02:21+00:00,2026-01-09 11:09:30+00:00,,
504,3,OKLO,2026-01-12 09:46:48+00:00,2026-01-12 09:55:40+00:00,,
505,3,SPY,2026-01-12 13:43:44+00:00,2026-01-12 14:31:56+00:00,,
506,3,XAIR,2026-01-13 09:47:10+00:00,2026-01-13 10:03:28+00:00,,
507,3,SPY,2026-01-13 15:19:07+00:00,2026-01-13 15:22:36+00:00,,
508,3,SPY,2026-01-14 12:03:20+00:00,2026-01-14 12:28:00+00:00,,
509,3,GCDT,2026-01-14 13:05:08+00:00,2026-01-14 13:15:01+00:00,,
510,3,SPY,2026-01-14 15:49:00+00:00,2026-01-14 15:54:57+00:00,,
511,3,SPY,2026-01-15 09:59:48+00:00,2026-01-15 10:17:54+00:00,,
512,3,SPY,2026-01-15 12:48:15+00:00,2026-01-15 12:59:26+00:00,,
513,3,SPY,2026-01-15 15:10:59+00:00,2026-01-15 15:17:28+00:00,,
514,3,JFBR,2026-01-16 09:57:22+00:00,2026-01-16 10:23:44+00:00,,
515,3,VERO,2026-01-16 10:07:18+00:00,2026-01-16 10:23:51+00:00,,
516,3,CRVS,2026-01-20 13:53:50+00:00,2026-01-20 13:54:49+00:00,,
517,3,CRVS,2026-01-20 13:57:35+00:00,2026-01-20 14:12:23+00:00,,
518,3,ACRS,2026-01-20 14:23:18+00:00,2026-01-20 14:39:01+00:00,,
519,3,SPY,2026-01-20 15:48:13+00:00,2026-01-20 15:48:55+00:00,,
520,3,SPY,2026-01-20 15:52:11+00:00,2026-01-20 15:54:11+00:00,,
521,3,SPY,2026-01-27 15:45:40+00:00,2026-01-27 15:51:30+00:00,,
522,3,BATL,2026-01-28 09:51:35+00:00,2026-01-28 09:56:48+00:00,,
523,3,BATL,2026-03-02 09:50:58+00:00,2026-03-02 09:58:10+00:00,,
524,3,BATL,2026-03-03 10:22:51+00:00,2026-03-03 10:25:14+00:00,,
525,3,FEED,2026-01-28 15:17:21+00:00,2026-01-28 15:23:04+00:00,,
526,3,SPY,2026-01-28 15:44:04+00:00,2026-01-28 15:49:35+00:00,,
527,3,CISS,2026-02-02 10:15:34+00:00,2026-02-02 10:29:04+00:00,,
528,3,AQST,2026-02-02 13:01:45+00:00,2026-02-02 13:13:54+00:00,,
529,3,ONDS,2026-02-02 13:30:16+00:00,2026-02-02 13:39:39+00:00,,
530,3,ONDS,2026-03-02 12:40:21+00:00,2026-03-02 13:09:58+00:00,,
531,3,SPY,2026-02-03 14:38:20+00:00,2026-02-03 14:54:18+00:00,,
532,3,SONO,2026-02-04 10:19:22+00:00,2026-02-04 10:23:34+00:00,,
533,3,MUD,2026-02-04 13:40:20+00:00,2026-02-04 13:48:57+00:00,,
534,3,SPY,2026-02-04 15:00:45+00:00,2026-02-04 15:11:56+00:00,,
535,3,SPY,2026-02-04 15:43:16+00:00,2026-02-04 15:46:28+00:00,,
536,3,ROIV,2026-02-06 09:44:12+00:00,2026-02-06 09:50:50+00:00,,
537,3,SPY,2026-02-06 13:23:33+00:00,2026-02-06 13:46:34+00:00,,
538,3,SPY,2026-02-06 15:36:05+00:00,2026-02-06 15:38:04+00:00,,
539,3,PLBY,2026-02-09 09:56:51+00:00,2026-02-09 13:18:00+00:00,,
540,3,SPY,2026-02-09 15:53:22+00:00,2026-02-09 16:00:41+00:00,,
541,3,SPOG,2026-02-10 09:45:21+00:00,2026-02-10 10:40:27+00:00,,
542,3,SPY,2026-02-10 15:46:38+00:00,2026-02-10 15:50:34+00:00,,
543,3,CRSR,2026-02-13 09:51:17+00:00,2026-02-13 09:53:40+00:00,,
544,3,SPY,2026-02-17 15:18:24+00:00,2026-02-17 15:19:54+00:00,,
545,3,SPY,2026-02-17 15:25:51+00:00,2026-02-17 15:29:05+00:00,,
546,3,RXT,2026-02-18 09:49:20+00:00,2026-02-18 09:59:26+00:00,,
547,3,RXT,2026-02-26 09:48:36+00:00,2026-02-26 09:56:49+00:00,,
548,3,AAL,2026-02-19 09:45:30+00:00,2026-02-19 10:11:26+00:00,,
549,3,ARDX,2026-02-20 09:55:29+00:00,2026-02-20 10:00:32+00:00,,
550,3,SPY,2026-02-20 15:30:14+00:00,2026-02-20 15:32:06+00:00,,
551,3,ALUR,2026-02-23 09:40:45+00:00,2026-02-23 09:48:45+00:00,,
552,3,SPY,2026-02-24 15:31:08+00:00,2026-02-24 15:40:03+00:00,,
553,3,CRCA,2026-02-25 09:38:14+00:00,2026-02-25 12:02:42+00:00,,
554,3,SPY,2026-02-25 15:25:59+00:00,2026-02-25 15:51:02+00:00,,
555,3,SPY,2026-03-02 15:12:35+00:00,2026-03-02 15:13:07+00:00,,
556,3,SPY,2026-03-02 15:15:06+00:00,2026-03-02 15:16:09+00:00,,
557,3,SPY,2026-03-02 15:23:05+00:00,2026-03-02 15:27:48+00:00,,
558,3,SPY,2026-03-02 15:45:19+00:00,2026-03-02 15:50:45+00:00,,
559,3,SPY,2026-03-03 15:06:40+00:00,2026-03-03 15:13:56+00:00,,
560,3,SPY,2026-03-03 15:17:37+00:00,2026-03-03 15:28:11+00:00,,
561,3,STEM,2026-03-05 09:38:42+00:00,2026-03-05 09:47:36+00:00,,
562,3,PDYN,2026-03-05 10:05:02+00:00,2026-03-05 10:05:14+00:00,,
563,3,SPY,2026-03-05 12:54:29+00:00,2026-03-05 13:04:50+00:00,,
564,3,SPY,2026-03-05 15:06:58+00:00,2026-03-05 15:10:10+00:00,,
565,3,SPY,2026-03-05 15:32:49+00:00,2026-03-05 15:50:10+00:00,,
566,3,SPY,2026-03-06 12:23:09+00:00,2026-03-06 12:24:51+00:00,,
567,3,SPY,2026-03-06 13:59:56+00:00,2026-03-06 14:10:12+00:00,,
568,3,SPY,2026-03-06 15:12:52+00:00,2026-03-06 15:14:12+00:00,,
569,3,SPY,2026-03-06 15:19:52+00:00,2026-03-06 15:23:15+00:00,,
570,3,SPY,2026-03-06 15:44:24+00:00,2026-03-06 15:46:17+00:00,,
571,3,SPY,2026-03-06 15:50:06+00:00,2026-03-06 15:50:29+00:00,,
